Country_Code,year,gdp,population
AFG,1960,537777811,8996351
AFG,1961,548888896,9166764
AFG,1962,546666678,9345868
AFG,1963,751111191,9533954
AFG,1964,800000044,9731361
AFG,1965,1006666638,9938414
AFG,1966,1399999967,10152331
AFG,1967,1673333418,10372630
AFG,1968,1373333367,10604346
AFG,1969,1408888922,10854428
AFG,1970,1748886596,11126123
AFG,1971,1831108971,11417825
AFG,1972,1595555476,11721940
AFG,1973,1733333264,12027822
AFG,1974,2155555498,12321541
AFG,1975,2366666616,12590286
AFG,1976,2555555567,12840299
AFG,1977,2953333418,13067538
AFG,1978,3300000109,13237734
AFG,1979,3697940410,13306695
AFG,1980,3641723322,13248370
AFG,1981,3478787909,13053954
AFG,1982,NULL,12749645
AFG,1983,NULL,12389269
AFG,1984,NULL,12047115
AFG,1985,NULL,11783050
AFG,1986,NULL,11601041
AFG,1987,NULL,11502761
AFG,1988,NULL,11540888
AFG,1989,NULL,11777609
AFG,1990,NULL,12249114
AFG,1991,NULL,12993657
AFG,1992,NULL,13981231
AFG,1993,NULL,15095099
AFG,1994,NULL,16172719
AFG,1995,NULL,17099541
AFG,1996,NULL,17822884
AFG,1997,NULL,18381605
AFG,1998,NULL,18863999
AFG,1999,NULL,19403676
AFG,2000,NULL,20093756
AFG,2001,2461665938,20966463
AFG,2002,4128820723,21979923
AFG,2003,4583644246,23064851
AFG,2004,5285465686,24118979
AFG,2005,6275073572,25070798
AFG,2006,7057598407,25893450
AFG,2007,9843842455,26616792
AFG,2008,10190529882,27294031
AFG,2009,12486943506,28004331
AFG,2010,15936800636,28803167
AFG,2011,17930239400,29708599
AFG,2012,20536542737,30696958
AFG,2013,20046334304,31731688
AFG,2014,20050189882,32758020
AFG,2015,19702986341,33736494
AFG,2016,19469022208,34656032
ALB,1960,NULL,1608800
ALB,1961,NULL,1659800
ALB,1962,NULL,1711319
ALB,1963,NULL,1762621
ALB,1964,NULL,1814135
ALB,1965,NULL,1864791
ALB,1966,NULL,1914573
ALB,1967,NULL,1965598
ALB,1968,NULL,2022272
ALB,1969,NULL,2081695
ALB,1970,NULL,2135479
ALB,1971,NULL,2187853
ALB,1972,NULL,2243126
ALB,1973,NULL,2296752
ALB,1974,NULL,2350124
ALB,1975,NULL,2404831
ALB,1976,NULL,2458526
ALB,1977,NULL,2513546
ALB,1978,NULL,2566266
ALB,1979,NULL,2617832
ALB,1980,NULL,2671997
ALB,1981,NULL,2726056
ALB,1982,NULL,2784278
ALB,1983,NULL,2843960
ALB,1984,1924242453,2904429
ALB,1985,1965384586,2964762
ALB,1986,2173750013,3022635
ALB,1987,2156624900,3083605
ALB,1988,2126000000,3142336
ALB,1989,2335124988,3227943
ALB,1990,2101624963,3286542
ALB,1991,1139166646,3266790
ALB,1992,709452584,3247039
ALB,1993,1228071038,3227287
ALB,1994,1985673798,3207536
ALB,1995,2424499009,3187784
ALB,1996,3314898292,3168033
ALB,1997,2359903108,3148281
ALB,1998,2707123772,3128530
ALB,1999,3414760915,3108778
ALB,2000,3632043908,3089027
ALB,2001,4060758804,3060173
ALB,2002,4435078648,3051010
ALB,2003,5746945913,3039616
ALB,2004,7314865176,3026939
ALB,2005,8158548717,3011487
ALB,2006,8992642349,2992547
ALB,2007,10701011897,2970017
ALB,2008,12881352688,2947314
ALB,2009,12044212904,2927519
ALB,2010,11926953259,2913021
ALB,2011,12890867539,2905195
ALB,2012,12319784787,2900401
ALB,2013,12781029644,2895092
ALB,2014,13219857459,2889104
ALB,2015,11390365294,2880703
ALB,2016,11926892453,2876101
DZA,1960,2723648552,11124888
DZA,1961,2434776646,11404859
DZA,1962,2001468868,11690153
DZA,1963,2703014867,11985136
DZA,1964,2909351793,12295970
DZA,1965,3136258897,12626952
DZA,1966,3039834559,12980267
DZA,1967,3370843066,13354197
DZA,1968,3852115817,13744387
DZA,1969,4257218772,14144438
DZA,1970,4863487493,14550034
DZA,1971,5077222367,14960109
DZA,1972,6761786387,15377093
DZA,1973,8715105930,15804428
DZA,1974,13209713643,16247113
DZA,1975,15557934268,16709099
DZA,1976,17728347375,17190239
DZA,1977,20971901273,17690184
DZA,1978,26364491313,18212326
DZA,1979,33243422158,18760761
DZA,1980,42345277342,19337715
DZA,1981,44348672668,19943664
DZA,1982,45207088716,20575701
DZA,1983,48801369800,21228289
DZA,1984,53698278906,21893853
DZA,1985,57937868670,22565905
DZA,1986,63696301893,23241272
DZA,1987,66742267773,23917897
DZA,1988,59089067187,24591492
DZA,1989,55631489802,25257672
DZA,1990,62045099643,25912367
DZA,1991,45715367087,26554329
DZA,1992,48003298223,27181094
DZA,1993,49946455211,27786259
DZA,1994,42542571306,28362253
DZA,1995,41764052458,28904298
DZA,1996,46941496780,29411415
DZA,1997,48177862502,29886839
DZA,1998,48187747529,30335732
DZA,1999,48640574567,30765613
DZA,2000,54790245601,31183660
DZA,2001,54744714396,31592153
DZA,2002,56760288974,31995046
DZA,2003,67863829880,32403514
DZA,2004,85324998814,32831096
DZA,2005,103198000000,33288437
DZA,2006,117027000000,33777915
DZA,2007,134977000000,34300076
DZA,2008,171001000000,34860715
DZA,2009,137211000000,35465760
DZA,2010,161207000000,36117637
DZA,2011,200013000000,36819558
DZA,2012,209047000000,37565847
DZA,2013,209784000000,38338562
DZA,2014,213983000000,39113313
DZA,2015,164779000000,39871528
DZA,2016,156080000000,40606052
ASM,1960,NULL,20013
ASM,1961,NULL,20486
ASM,1962,NULL,21117
ASM,1963,NULL,21882
ASM,1964,NULL,22698
ASM,1965,NULL,23520
ASM,1966,NULL,24321
ASM,1967,NULL,25116
ASM,1968,NULL,25885
ASM,1969,NULL,26614
ASM,1970,NULL,27292
ASM,1971,NULL,27916
ASM,1972,NULL,28492
ASM,1973,NULL,29014
ASM,1974,NULL,29488
ASM,1975,NULL,29932
ASM,1976,NULL,30321
ASM,1977,NULL,30689
ASM,1978,NULL,31102
ASM,1979,NULL,31673
ASM,1980,NULL,32457
ASM,1981,NULL,33493
ASM,1982,NULL,34738
ASM,1983,NULL,36160
ASM,1984,NULL,37688
ASM,1985,NULL,39241
ASM,1986,NULL,40837
